,year,time,month,popularity,regression
0,2006,5.5,6.5,16.916666666666668,16.23352920031175
1,2007,17.5,6.5,17.583333333333332,17.289370299782604
2,2008,29.5,6.5,18.75,19.38814080040902
3,2009,41.5,6.5,23.166666666666668,22.52984070032835
4,2010,53.5,6.5,26.916666666666668,26.71447000047192
5,2011,65.5,6.5,29.083333333333332,31.942028700374067
6,2012,77.5,6.5,39.5,38.21251680003479
7,2013,89.5,6.5,48.5,45.525934300385416
8,2014,101.5,6.5,53.75,53.882281200028956
9,2015,113.5,6.5,63.0,63.281557500362396
10,2016,125.5,6.5,73.41666666666667,73.72376319998875
